Name;Party;Municipality;Education;Year of birth;Language;Language skills;Gender;In my wellbeing services county, I should be able to get non-urgent treatment in primary health care within two weeks.;Customer fees for public healthcare should be reduced.;It is right that public money is spent to support people's use of private healthcare.;One round-the-clock specialist hospital with emergency services will be enough in my wellbeing services county in the future.;I am prepared to compromise on the social and health services of my home municipality if it is in the interest of the entire wellbeing services county.;My wellbeing services county should attract doctors to health centers with financial incentives, even if that means cutting spending elsewhere.;My wellbeing services county should attract care staff from abroad.;My wellbeing services county must ensure that caregivers have a good command of Finnish or Swedish.;My wellbeing services county should also offer undocumented people healthcare that is not required by law.;This wellbeing services county should stop providing free contraception for young people.;My wellbeing services county should train social and healthcare workers about the diversity of sexual orientation and gender.;It is right that even small hospitals in Swedish-speaking areas be allowed maintain 24-hour special medical care services due to linguistic rights.;Young people should be able to access mental health services without an appointment in my wellbeing services county.;We should add more beds to 24-hour service housing for the elderly, even if it costs more.;In eldercare, home visits can be replaced by remote services.;Adult children should take more responsibility for caring for their elderly parents than they do now.;We must accept that one's place of residence affects the availability of basic social and healthcare services.;This wellbeing services county should reduce its purchase of child protection services from large companies.;Drug users should have the opportunity to exchange dirty needles for clean ones in all the municipalities in my wellbeing services county.;The current fire brigades must be maintained, even in remote areas.;Wellbeing services counties should be given the right to collect tax.;The number of wellbeing services counties should be reduced from the current 21.;Well-being areas must make budget cuts within the required timeframe, even if that means that services must be quickly reduced.;No-one should be allowed to hold triple roles as MP, municipal councillor and regional councillor at the same time.;My wellbeing services county must take into account the reduction of climate emissions in all its decisions.
Jari Heromaa;Perussuomalaiset;Kontiolahti;ammattitutkinto;1959;suomi;suomi;male;2;1;3;2;0;1;1;3;0;2;0;1;2;2;1;1;1;2;1;2;0;2;1;2;1
Jari Honkaniemi;Perussuomalaiset;Nokia;ylempi korkeakoulututkinto;1961;suomi;suomi, ruotsi, englanti;male;1;1;1;3;0;2;0;3;0;0;0;2;2;3;2;3;3;3;1;2;1;2;0;2;2
Jari Hovinen;Sitoutumaton;Vantaa;ammattitutkinto;1965;suomi;suomi, ruotsi, englanti, saksa;male;2;1;2;1;1;2;1;3;0;2;1;1;2;3;1;1;1;2;2;3;0;3;0;3;2
Jari Hursti;Perussuomalaiset;Sipoo;ammattitutkinto;1956;suomi;suomi;male;2;1;2;2;1;2;2;1;2;1;1;0;3;2;2;1;2;2;2;2;0;1;1;0;1
Jari Huuskonen;Vapauden liitto;Espoo;ylempi korkeakoulututkinto;1971;suomi;suomi, englanti;male;2;3;2;1;1;2;1;2;0;1;1;1;2;2;0;1;2;3;3;2;0;2;2;3;0
Jari Hämeenniemi;Perussuomalaiset;Alajärvi;ammattitutkinto;1973;suomi;;male;3;2;1;2;0;2;0;3;0;1;0;2;3;3;0;1;0;3;0;3;0;0;1;3;1
Jari Ilkka;Kansallinen Kokoomus;Porvoo;joku muu;1965;suomi;suomi, englanti;male;2;0;3;3;3;2;3;2;0;0;2;0;1;2;3;3;3;0;2;2;0;3;3;3;1
Jari Ilkka;Perussuomalaiset;Kaarina;alempi korkeakoulututkinto;1967;suomi;suomi, ruotsi, englanti;male;2;1;3;1;1;1;0;3;0;0;1;1;3;3;1;1;1;1;1;3;0;2;0;3;0
Jari Immonen;Perussuomalaiset;Tuusula;ammattitutkinto;1969;suomi;suomi, englanti;male;1;2;2;3;1;2;2;3;0;2;1;0;3;2;1;1;1;2;3;3;1;2;0;3;0
Jari Iskanius;Suomen Sosialidemokraattinen Puolue;Hollola;ammattitutkinto;1968;suomi;ruotsi, englanti;male;3;1;0;2;1;1;3;2;1;1;2;0;3;3;2;1;0;2;2;2;1;2;1;1;1
Jari J. Marjanen;Vihreä liitto;Pori;ylempi korkeakoulututkinto;1957;suomi;suomi, ruotsi, englanti, saksa, ranska, viro;male;3;3;1;2;2;1;2;3;2;0;2;1;3;2;2;1;1;3;2;2;2;1;0;3;3
Jari Jaskari;Kansallinen Kokoomus;Vaasa;ylempi korkeakoulututkinto;1965;suomi;suomi, ruotsi, englanti;male;2;2;3;1;1;2;2;3;3;0;3;1;3;2;2;1;2;1;3;2;1;2;1;1;3
Jari Jokilampi;Kansallinen Kokoomus;Kangasala;ylempi korkeakoulututkinto;1953;suomi;ruotsi, englanti, saksa;male;1;1;3;0;2;2;2;1;1;2;1;1;2;2;1;1;1;1;1;3;0;3;3;2;2
Jari Jussinmäki;Suomen Keskusta;Paimio;ylempi korkeakoulututkinto;1960;suomi;suomi;male;2;0;2;0;0;1;1;2;2;0;2;2;3;2;2;1;0;2;1;2;0;0;0;1;2
Jari Juurenheimo;Suomen Kristillisdemokraatit (KD);Kaarina;joku muu;1963;suomi;suomi, englanti;male;2;2;2;2;2;2;1;2;2;1;2;1;2;3;1;1;1;2;2;2;1;1;1;2;2
Jari Kaitera;Kansallinen Kokoomus;Lahti;ylempi korkeakoulututkinto;1969;suomi;suomi, ruotsi, englanti, saksa;male;2;1;3;2;0;2;2;1;0;0;2;1;3;3;3;3;3;2;2;1;0;3;2;3;1
Jari Kaleton;Perussuomalaiset;Kouvola;ammattitutkinto;1959;suomi;suomi, englanti;male;3;3;3;0;0;2;1;3;0;0;1;2;3;3;0;2;2;3;3;3;0;0;2;3;0
Jari Kankaanpää;Kansallinen Kokoomus;Seinäjoki;ylempi korkeakoulututkinto;1986;suomi;ruotsi, englanti;male;0;1;2;3;2;2;3;2;1;3;1;0;1;2;2;1;2;2;2;2;2;2;2;2;1
Jari Karhu;Suomen Keskusta;Lappeenranta;alempi korkeakoulututkinto;1963;suomi;suomi, englanti;male;2;1;2;2;2;0;2;3;0;0;2;1;3;3;1;2;0;1;0;3;1;0;0;0;2
Jari Karttunen;Suomen Kommunistinen Puolue;Vantaa;ylempi korkeakoulututkinto;1981;suomi;ruotsi, englanti, saksa, venäjä;male;2;3;0;0;0;1;3;3;3;0;3;2;3;3;0;0;0;3;3;3;3;2;0;3;2
Jari Kinnunen;Kansallinen Kokoomus;Nokia;ylempi korkeakoulututkinto;1960;suomi;suomi, ruotsi, englanti, saksa;male;1;1;2;2;1;1;2;1;0;2;2;1;1;1;2;1;2;1;1;2;0;3;1;1;0
Jari Kivikko;Vasemmistoliitto;Turku;ammattitutkinto;1985;suomi;suomi, ruotsi, englanti;male;1;3;1;0;0;1;1;3;3;0;3;3;3;3;0;1;0;2;3;3;1;1;0;1;2
Jari Kleemola;Perussuomalaiset;Kokkola;ammattitutkinto;1972;suomi;suomi, englanti;male;0;1;0;3;3;0;0;3;0;2;0;0;1;2;2;2;3;3;0;3;0;0;3;2;0
Jari Koivisto;Liberaalipuolue - Vapaus valita;Espoo;joku muu;1986;suomi;suomi, englanti;male;3;1;2;0;2;1;2;3;0;1;2;1;3;2;1;1;2;2;1;2;0;3;2;3;1
Jari Kokko;Suomen Keskusta;Rovaniemi;ylempi korkeakoulututkinto;1980;suomi;englanti, joku muu;male;3;1;2;2;3;1;3;1;1;0;2;0;1;2;1;1;1;1;2;1;1;1;0;1;0
Jari Komulainen;Suomen Keskusta;Kajaani;ylempi korkeakoulututkinto;1993;suomi;suomi, englanti;male;2;2;2;2;2;1;3;1;2;1;2;2;2;2;1;2;1;2;1;3;0;1;1;3;1
Jari Korhonen;Perussuomalaiset;Joensuu;ammattitutkinto;1967;suomi;suomi;male;2;1;2;1;1;1;0;3;0;2;0;0;2;2;1;2;0;2;1;3;0;2;1;2;0
Jari Käki;Perussuomalaiset;Kouvola;peruskoulu;1967;suomi;suomi;male;3;2;2;0;2;1;1;2;1;1;1;1;2;2;1;2;1;2;1;3;1;1;1;3;2
Jari Lantta;Suomen Keskusta;Savitaipale;ammattitutkinto;1962;suomi;suomi, ruotsi, englanti;male;2;1;2;1;1;1;2;2;1;1;2;1;3;2;2;1;2;2;1;2;1;1;1;2;1
Jari Laru;Kansallinen Kokoomus;Oulu;ylempi korkeakoulututkinto;1975;suomi;suomi, ruotsi, englanti;male;2;1;3;3;3;0;2;2;0;1;2;0;2;1;2;2;3;2;1;1;0;3;1;2;1
Jari Latvala;Suomen Keskusta;Oulu;ylempi korkeakoulututkinto;1959;suomi;suomi, ruotsi, englanti, saksa;male;2;1;1;2;2;2;2;2;1;2;1;1;2;2;1;2;2;2;2;2;2;2;1;2;1
Jari Laukia;Suomen Sosialidemokraattinen Puolue;Kerava;ylempi korkeakoulututkinto;1958;suomi;suomi, ruotsi, englanti;male;2;2;2;2;1;1;2;3;2;1;2;2;2;2;2;1;1;1;2;3;1;1;1;2;3
Jari Lauronen;Suomen Keskusta;Joensuu;ylempi korkeakoulututkinto;1960;suomi;suomi, ruotsi, englanti, saksa, ranska;male;2;1;2;2;1;1;2;2;2;0;1;1;1;2;1;1;1;1;2;2;1;0;1;1;1
Jari Lepistö;Suomen Keskusta;Karvia;ylempi korkeakoulututkinto;1973;suomi;suomi, englanti;male;2;2;1;2;0;2;2;2;0;2;2;1;2;2;2;1;2;2;2;3;1;1;0;0;2
Jari Leppä;Suomen Keskusta;Mäntyharju;ammattitutkinto;1959;suomi;suomi, englanti;male;3;2;2;1;1;1;3;2;1;0;2;0;3;3;1;2;3;2;2;3;1;0;0;0;1
Jari Lindh;Vasemmistoliitto;Kajaani;ylempi korkeakoulututkinto;1966;suomi;ruotsi, englanti;male;3;3;1;3;2;1;2;2;3;0;3;1;3;3;0;0;0;3;3;3;1;0;0;3;3
Jari Makkonen;Suomen Keskusta;Muonio;ammattitutkinto;1981;suomi;suomi, ruotsi, englanti;male;2;2;1;1;0;1;2;3;2;2;2;2;2;2;1;2;0;2;2;3;2;0;0;1;1
Jari Malm;Perussuomalaiset;Sipoo;ammattitutkinto;1965;suomi;suomi, ruotsi, englanti;male;2;1;2;2;2;1;2;3;0;2;0;0;2;2;2;3;1;2;1;2;0;3;2;2;0
Jari Marttila;Suomen Sosialidemokraattinen Puolue;Iisalmi;ammattitutkinto;1968;suomi;suomi, englanti;male;3;1;1;0;1;0;2;2;1;0;1;1;3;2;1;1;0;2;2;2;2;1;0;2;1
Jari Merranmaa;Kansallinen Kokoomus;Espoo;ammattitutkinto;1970;suomi;suomi;male;3;1;3;0;3;0;0;3;0;3;0;3;2;3;0;0;0;2;0;3;0;0;1;0;1
Jari Mertala;Vasemmistoliitto;Kemi;ammattitutkinto;1966;suomi;englanti;male;2;3;0;0;0;0;3;2;2;0;2;0;3;3;3;0;0;3;2;3;2;0;0;3;3
Jari Myllykoski;Vasemmistoliitto;Nakkila;ammattitutkinto;1959;suomi;suomi;male;1;3;1;2;0;0;1;2;2;0;0;1;3;3;2;1;2;2;3;3;0;2;0;3;2
Jari Mäkinen;Perussuomalaiset;Mänttä-Vilppula;ylempi korkeakoulututkinto;1966;suomi;suomi, ruotsi, englanti, saksa, espanja;male;2;2;3;1;1;0;1;3;0;1;0;1;1;2;1;2;0;2;2;2;0;1;1;3;0
Jari Mäkinen;Vasemmistoliitto;Jämsä;ammattitutkinto;1963;suomi;suomi, englanti, viro;male;3;3;3;0;1;0;3;3;2;0;1;0;3;3;1;1;0;3;3;3;1;1;0;3;1
Jari Mäkirinne;Suomen Sosialidemokraattinen Puolue;Sauvo;ammattitutkinto;1983;suomi;suomi;male;2;1;1;2;2;2;0;2;1;0;0;1;1;3;2;0;1;3;2;2;0;0;1;3;1
Jari Niiranen;Kansallinen Kokoomus;Ruokolahti;ammattitutkinto;1961;suomi;suomi;male;1;0;3;3;0;1;2;3;3;0;2;1;3;3;2;2;1;1;2;3;0;0;1;1;3
Jari Nurmi;Suomen Sosialidemokraattinen Puolue;Hämeenlinna;ylempi korkeakoulututkinto;1961;suomi;suomi, ruotsi, englanti, saksa;male;1;1;2;2;0;1;1;3;2;0;3;2;3;3;1;1;1;2;3;2;2;2;0;3;3
Jari Nymark;Perussuomalaiset;Kerava;ammattitutkinto;1984;suomi;suomi, englanti;male;1;2;2;3;0;1;0;2;0;2;0;0;3;2;2;2;0;2;0;3;1;1;1;3;3
Jari Oksanen;Vihreä liitto;Porvoo;ammattitutkinto;1966;suomi;;male;2;1;1;3;2;2;2;2;2;0;2;1;2;2;2;1;2;2;3;2;2;2;1;2;3
Jari Orjala;Kansallinen Kokoomus;Kannus;alempi korkeakoulututkinto;1972;suomi;suomi, ruotsi, englanti;male;3;2;3;3;1;1;2;3;1;0;2;1;2;2;1;2;1;1;2;3;1;0;1;0;1
Jari Paasovaara;Suomen Keskusta;Suomussalmi;alempi korkeakoulututkinto;1968;suomi;suomi, englanti;male;2;2;3;1;1;2;1;1;1;1;2;1;2;2;2;1;0;2;2;3;0;1;1;3;2
Jari Pajari;Vasemmistoliitto;Riihimäki;ammattitutkinto;1967;suomi;englanti;male;2;2;0;1;1;1;2;3;2;0;2;1;3;2;1;2;0;1;3;3;2;2;1;3;2
Jari Paldán;Suomen Sosialidemokraattinen Puolue;Rovaniemi;alempi korkeakoulututkinto;1976;suomi;englanti;male;2;2;1;0;1;1;1;3;2;1;3;2;3;2;1;1;1;2;2;1;2;1;1;2;3
Jari Pellinen;Perussuomalaiset;Vantaa;ylioppilas;1961;suomi;suomi, ruotsi, englanti;male;3;2;3;3;1;2;2;3;0;1;1;0;3;2;1;2;2;3;2;3;0;2;1;2;1
Jari Poikela;Suomen Keskusta;Rovaniemi;alempi korkeakoulututkinto;1975;suomi;suomi, ruotsi, englanti;male;2;0;3;3;0;3;0;3;0;0;0;0;2;3;3;0;0;1;3;3;0;0;0;0;0
Jari Pukki;Suomen Keskusta;Kouvola;alempi korkeakoulututkinto;1980;suomi;englanti;male;2;2;2;0;0;1;1;2;1;1;1;2;2;2;0;1;0;2;2;3;1;1;1;3;1
Jari Pulkkinen;Suomen Kristillisdemokraatit (KD);Raisio;ammattitutkinto;1960;suomi;suomi;male;3;3;3;0;0;3;0;3;1;1;2;2;3;2;1;1;1;1;3;3;1;2;0;2;2
Jari Puumala;Kansallinen Kokoomus;Pori;joku muu;1974;suomi;suomi;male;1;1;2;2;2;1;2;2;0;2;2;0;3;1;1;1;2;0;0;2;0;1;2;1;2
Jari Puustinen;Kansallinen Kokoomus;Heinävesi;alempi korkeakoulututkinto;1966;suomi;suomi, ruotsi, englanti;male;1;0;3;2;2;2;2;2;2;1;2;0;2;2;3;1;2;0;0;3;0;2;2;1;2
Jari Pylväinen;Kansallinen Kokoomus;Rantasalmi;alempi korkeakoulututkinto;1976;suomi;suomi, englanti, espanja;male;2;2;1;2;1;2;1;2;1;1;2;1;2;2;1;2;1;2;2;2;1;1;1;2;1
Jari Pöntinen;Kansallinen Kokoomus;Hyvinkää;ylempi korkeakoulututkinto;1960;suomi;suomi, englanti;male;3;0;2;0;1;0;2;3;2;1;2;0;2;3;1;1;1;2;2;2;0;2;1;3;2
Jari Rajala;Suomen Keskusta;Kajaani;alempi korkeakoulututkinto;1978;suomi;ruotsi, englanti;male;2;0;1;3;2;1;1;3;1;1;2;2;2;2;1;1;1;2;3;3;1;0;1;1;1
Jari Rajala;Suomen Sosialidemokraattinen Puolue;Jyväskylä;ammattitutkinto;1969;suomi;suomi, ruotsi, englanti;male;3;2;3;0;1;3;2;2;1;0;2;0;3;3;2;1;1;1;2;3;2;1;1;3;1
Jari Saari;Suomen Sosialidemokraattinen Puolue;Oulu;alempi korkeakoulututkinto;1980;suomi;suomi, ruotsi, englanti, joku muu;male;3;1;2;0;1;1;0;3;1;0;1;2;2;3;2;0;2;3;2;3;2;0;0;3;2
Jari Saari;Suomen Sosialidemokraattinen Puolue;Tampere;ammattitutkinto;1976;suomi;suomi, englanti;male;3;2;0;2;2;2;0;3;2;1;2;2;3;3;0;1;2;3;2;3;2;0;0;2;2
Jari Saario;Suomen Kristillisdemokraatit (KD);Kaavi;ammattitutkinto;1985;suomi;englanti;male;3;2;2;0;0;0;1;3;0;0;0;0;3;3;2;1;0;3;3;3;0;0;0;3;0
Jari Sainio;Suomen Sosialidemokraattinen Puolue;Vantaa;ylempi korkeakoulututkinto;1961;suomi;suomi, ruotsi, englanti;male;3;2;0;3;2;1;2;2;1;1;2;1;3;3;0;1;2;2;3;3;0;0;0;2;2
Jari Sainmaa;Perussuomalaiset;Tornio;ylioppilas;1973;suomi;suomi, ruotsi, englanti;male;1;2;1;1;1;1;1;3;0;0;0;0;3;2;2;1;1;2;0;2;0;2;2;2;0
Jari Seppänen;Perussuomalaiset;Raahe;alempi korkeakoulututkinto;1961;suomi;englanti;male;3;2;2;0;0;1;0;3;1;1;1;0;2;3;0;1;0;2;2;3;0;0;3;3;0
Jari Smedberg;Liike Nyt;Savonlinna;ylempi korkeakoulututkinto;1978;suomi;suomi, ruotsi, englanti;male;2;3;3;0;0;2;2;3;2;0;3;1;3;3;1;1;1;2;3;3;0;3;0;3;2
Jari T. Korhonen;Suomen Keskusta;Kuopio;ylempi korkeakoulututkinto;1965;suomi;suomi;male;2;1;2;3;3;0;1;3;2;1;3;0;2;2;2;3;2;3;2;3;0;1;0;1;2
Jari Tiippana;Perussuomalaiset;Imatra;ylioppilas;1987;suomi;suomi;male;3;0;1;0;0;0;1;2;0;1;0;0;3;2;1;2;3;1;2;3;2;0;0;2;0
Jari Toivanen;Perussuomalaiset;Hamina;alempi korkeakoulututkinto;1969;suomi;suomi, englanti;male;3;2;2;2;1;2;1;3;0;3;0;0;2;3;0;2;0;3;1;3;0;0;1;3;2
Jari Toroi;Kansallinen Kokoomus;Joroinen;ylempi korkeakoulututkinto;1961;suomi;suomi, ruotsi, englanti;male;2;1;2;2;2;2;2;2;1;1;2;1;2;2;2;2;2;2;2;3;0;3;2;2;2
Jari Tschernij;Vihreä liitto;Parainen;joku muu;1966;suomi;suomi, ruotsi, englanti;male;2;1;1;3;1;2;3;0;0;0;0;2;3;3;2;3;0;3;3;3;1;2;1;3;3
Jari Tulonen;Suomen Kristillisdemokraatit (KD);Kaarina;alempi korkeakoulututkinto;1964;suomi;suomi, ruotsi, englanti;male;3;3;0;2;0;1;0;3;1;3;0;1;2;3;0;1;0;0;1;3;0;0;0;3;1
Jari Tuominen;Kansallinen Kokoomus;Nokia;ylempi korkeakoulututkinto;1975;suomi;suomi, ruotsi, englanti, saksa;male;2;0;3;2;2;1;3;2;0;1;2;0;2;2;1;1;2;1;2;3;0;2;2;2;1
Jari Tuominen;Liike Nyt;Tampere;ammattitutkinto;1968;suomi;suomi, englanti;male;3;1;2;3;3;1;0;3;0;0;3;2;3;3;3;1;3;3;3;2;3;3;2;3;3
Jari Tuukkanen;Suomen Keskusta;Jyväskylä;ylempi korkeakoulututkinto;1975;suomi;suomi, englanti;male;1;1;2;2;3;1;1;3;2;0;2;1;3;2;2;2;1;2;3;3;2;0;1;1;2
Jari Ventola;Suomen Sosialidemokraattinen Puolue;Janakkala;ammattitutkinto;1976;suomi;suomi, englanti;male;2;1;2;2;0;1;1;1;2;0;2;3;2;2;2;2;0;2;1;3;2;1;1;2;2
Jari Virtanen;Suomen Sosialidemokraattinen Puolue;Heinola;ammattitutkinto;1977;suomi;suomi, englanti;male;2;2;1;3;1;2;1;3;1;0;2;1;3;2;0;2;1;1;3;3;1;1;1;2;1
Jari Vähätalo;Suomen Keskusta;Lieto;joku muu;1964;suomi;suomi;male;3;1;2;1;1;1;1;3;1;1;2;1;1;2;1;1;1;1;2;3;2;1;1;2;2
Jari Välimäki;Suomen Keskusta;Loimaa;ylempi korkeakoulututkinto;1954;suomi;ruotsi, englanti;male;3;2;1;0;1;1;2;3;2;0;3;1;1;3;2;2;3;3;2;3;0;0;0;3;2
Jari Väyrynen;Perussuomalaiset;Oulu;ammattitutkinto;1982;suomi;suomi, englanti;male;3;1;3;1;2;2;0;1;0;1;0;2;3;3;0;2;0;2;1;3;2;0;0;1;0
Jari-Jukka Jokela;Suomen Keskusta;Ii;ylempi korkeakoulututkinto;1969;suomi;suomi, ruotsi, englanti, saksa;male;2;1;2;1;1;2;2;2;2;1;2;1;2;2;0;2;1;1;2;3;0;2;1;2;1
Jari-Pekka Pyykkönen;Vasemmistoliitto;Paltamo;peruskoulu;1966;suomi;;male;3;2;1;2;1;2;2;1;2;0;2;2;3;2;1;2;1;1;2;3;1;1;1;1;2
Jari-Pekka Virta;Vasemmistoliitto;Joensuu;ammattitutkinto;1993;suomi;;male;3;1;0;3;3;1;1;3;0;3;3;3;3;3;0;3;3;0;0;3;0;0;0;3;1
Jari-antti Hörkkö;Suomen Keskusta;Naantali;ylempi korkeakoulututkinto;1970;suomi;suomi, ruotsi, englanti;male;3;1;2;1;1;1;2;3;1;1;2;1;3;2;2;1;0;1;2;3;1;1;1;2;2
Jari-matti Välkkynen;Vasemmistoliitto;Salo;ammattitutkinto;1968;suomi;suomi;male;3;1;1;1;1;1;2;3;1;0;2;1;2;2;1;2;1;1;2;2;2;1;1;2;2
Jari-pekka Velin;Suomen Sosialidemokraattinen Puolue;Hyvinkää;ammattitutkinto;1962;suomi;suomi, englanti;male;3;2;1;1;1;1;1;3;0;2;2;2;2;3;0;2;0;2;1;2;1;1;1;3;1
Jarkko Ahokas;Kansallinen Kokoomus;Siilinjärvi;ylioppilas;1975;suomi;suomi, ruotsi, englanti;male;2;2;2;1;2;1;2;2;2;0;2;2;3;2;2;2;2;2;3;2;2;1;1;2;2
Jarkko Granat;Perussuomalaiset;Aura;ammattitutkinto;1988;suomi;suomi, englanti;male;2;3;1;1;1;2;0;3;0;0;2;1;3;2;0;1;3;0;2;3;1;1;0;3;1
Jarkko Haanpää;Perussuomalaiset;Vantaa;joku muu;1969;suomi;suomi;male;3;3;2;3;2;0;2;2;0;3;2;0;3;3;1;1;2;1;2;3;0;3;2;3;0
Jarkko Harjumaaskola;Suomen Sosialidemokraattinen Puolue;Hamina;ammattitutkinto;1968;suomi;suomi;male;2;1;2;2;2;2;2;2;2;1;2;1;1;2;2;2;2;2;2;2;1;1;1;2;2
Jarkko Haverinen;Perussuomalaiset;Sipoo;alempi korkeakoulututkinto;1977;suomi;suomi, ruotsi, englanti;male;3;1;2;2;1;1;1;3;0;3;0;1;2;2;2;2;2;2;3;3;0;2;1;2;0
Jarkko Hytinkoski;Kansallinen Kokoomus;Vantaa;alempi korkeakoulututkinto;1975;suomi;suomi, ruotsi, englanti;male;2;1;2;2;2;1;2;2;1;2;1;1;1;2;2;1;2;1;2;2;1;2;2;2;1
Jarkko Hämälä;Vihreä liitto;Oulu;ammattitutkinto;1986;suomi;suomi, ruotsi, englanti;male;3;3;0;0;2;1;2;2;3;0;3;2;3;3;2;0;2;3;3;3;2;1;1;1;3
Jarkko Karjalainen;Suomen Keskusta;Säkylä;ylempi korkeakoulututkinto;1978;suomi;suomi, ruotsi, englanti;male;3;2;1;3;0;2;3;2;2;0;2;1;3;3;0;1;0;2;3;3;1;1;0;3;2
Jarkko Korpi;Perussuomalaiset;Espoo;ammattitutkinto;1968;suomi;suomi, ruotsi, englanti, saksa, espanja, italia;male;3;2;2;1;1;2;2;2;0;0;1;1;3;2;0;1;0;1;2;3;1;3;0;3;0
Jarkko Koste;Perussuomalaiset;Espoo;ammattitutkinto;1968;suomi;suomi, englanti;male;2;1;2;2;1;2;0;3;0;1;0;0;2;1;1;1;2;1;1;1;2;1;1;2;0
Jarkko Kotilaine;Vasemmistoliitto;Kemijärvi;alempi korkeakoulututkinto;1974;suomi;suomi, ruotsi, englanti, saksa, venäjä;male;2;3;0;1;2;2;2;3;2;0;3;1;3;2;1;1;1;3;3;3;3;2;0;2;3
Jarkko Lahtinen;Suomen Keskusta;Lempäälä;ammattitutkinto;1969;suomi;suomi;male;3;3;1;0;1;1;2;3;2;3;1;2;2;3;0;2;1;2;2;3;2;2;0;3;1
Jarkko Lampinen;Perussuomalaiset;Kitee;ammattitutkinto;1970;suomi;englanti;male;3;2;3;3;2;0;1;3;0;1;1;0;2;3;0;1;0;0;3;3;0;3;2;3;1
Jarkko Leskinen;Kansallinen Kokoomus;Joensuu;alempi korkeakoulututkinto;1988;suomi;suomi, englanti;male;1;1;2;3;3;1;2;3;0;0;2;0;3;2;2;1;3;3;0;3;0;1;1;3;2
Jarkko Niemi;Suomen Sosialidemokraattinen Puolue;Hollola;ylempi korkeakoulututkinto;1980;suomi;suomi;male;3;1;1;3;2;2;3;2;2;0;3;1;3;2;2;2;2;1;2;3;1;3;1;1;3
Jarkko Saarikoski;Suomen Sosialidemokraattinen Puolue;Kajaani;ammattitutkinto;1982;suomi;suomi, englanti;male;3;0;2;2;1;2;2;3;1;1;2;1;2;2;1;2;1;2;2;3;0;0;1;2;2
Jarkko Saarinen;Kansallinen Kokoomus;Turku;ylempi korkeakoulututkinto;1978;suomi;suomi, ruotsi, englanti;male;1;2;2;3;2;1;1;2;2;0;2;0;1;2;2;2;2;1;2;2;0;3;2;0;1
Jarkko Santala;Vihreä liitto;Pori;ylioppilas;1978;suomi;suomi, englanti;male;3;3;1;3;2;1;3;3;3;0;3;2;3;2;1;0;1;2;3;3;3;2;0;3;3
Jarkko Stenfors;Kansallinen Kokoomus;Ulvila;ylempi korkeakoulututkinto;1980;suomi;suomi, englanti;male;1;1;3;3;3;1;3;2;0;0;0;1;3;2;2;3;3;0;0;3;0;3;2;2;2
Jarkko Stråhle;Kansallinen Kokoomus;Hausjärvi;ylempi korkeakoulututkinto;1982;suomi;suomi, englanti;male;1;1;2;3;2;2;2;2;1;1;2;0;2;2;2;2;2;2;1;2;0;2;2;2;1
Jarkko Taipaleenmäki;Suomen Sosialidemokraattinen Puolue;Jyväskylä;ylempi korkeakoulututkinto;1988;suomi;englanti;male;3;1;1;1;3;1;3;3;3;0;3;0;3;3;1;1;1;2;3;3;2;0;0;1;2
Jarkko Tuomainen;Vihreä liitto;Jyväskylä;alempi korkeakoulututkinto;1969;suomi;suomi, ruotsi, englanti;male;3;2;1;2;1;2;3;3;2;0;2;1;2;3;2;1;2;1;3;2;2;3;0;3;3
Jarkko Viljanen;Suomen Sosialidemokraattinen Puolue;Ulvila;alempi korkeakoulututkinto;1988;suomi;suomi, englanti;male;3;2;1;3;2;1;1;3;2;0;3;1;3;3;1;1;0;1;2;3;1;0;0;2;2
Jarkko Vuorela;Perussuomalaiset;Kotka;ammattitutkinto;1972;suomi;suomi, englanti;male;3;1;1;3;3;1;1;0;0;3;0;0;1;3;0;3;2;3;1;3;0;3;3;3;1
Jarkko Vähälä;Perussuomalaiset;Kaustinen;ammattitutkinto;1981;suomi;suomi, englanti;male;2;1;1;2;1;1;0;3;0;1;0;0;2;1;3;1;2;1;1;3;0;0;2;1;1
Jarkko Wallenius;Suomen Keskusta;Järvenpää;ylioppilas;1967;suomi;suomi, ruotsi, englanti;male;1;1;2;2;2;1;2;2;1;1;2;0;2;1;1;1;2;2;2;2;0;2;1;2;2
Jarkko Wallinkoski;Kansallinen Kokoomus;Turku;alempi korkeakoulututkinto;1980;suomi;suomi, ruotsi, englanti;male;2;1;2;2;1;1;3;1;0;0;2;1;2;2;1;2;2;1;2;2;0;3;1;3;1
Jarkko Wuorinen;Suomen Keskusta;Savonlinna;ylempi korkeakoulututkinto;1951;suomi;suomi, ruotsi, englanti;male;3;1;2;0;1;1;2;3;1;1;1;1;2;3;2;1;0;2;0;3;2;1;0;2;1
Jarmo Eklund;Perussuomalaiset;Ulvila;ammattitutkinto;1964;suomi;suomi;male;3;3;2;0;0;3;0;3;0;2;0;1;3;3;0;3;1;3;1;3;0;0;1;2;1
Jarmo Forselius;Suomen Kristillisdemokraatit (KD);Mikkeli;ylioppilas;1962;suomi;suomi, ruotsi, englanti;male;1;2;1;1;0;1;0;3;1;0;0;0;3;1;1;1;1;1;0;2;1;1;1;2;0
Jarmo Glader;Kansallinen Kokoomus;Vaasa;ylioppilas;1967;suomi;suomi, ruotsi, englanti;male;1;1;3;1;2;3;3;1;0;1;1;1;3;2;1;0;2;0;3;2;0;2;1;3;1
