Name;Party;Municipality;Education;Year of birth;Language;Language skills;Gender;My municipality should set a maximum size for elementary school teaching groups.;It is justifiable to close down small schools to cut costs.;In my municipality, pupils should have the opportunity to study Swedish in Finnish-speaking schools before the sixth grade in elementary schools.;My municipality should financially support the home care of children under the age of 3.;My municipality should attract residents with a baby allowance.;Schools and kindergartens should serve less meat.;Schools should maintain Christian traditions.;If the municipality's income and expenses must be balanced, it should be done by cutting expenses rather than raising taxes.;Capital gains should not be subject to municipal taxation.;The municipality should primarily buy services from companies that it owns.;Municipalities should help to finance regional flights.;Remote support in looking for jobs is sufficient for unemployed people in small towns.;If necessary, the municipality should expropriate private land in order to obtain land for construction.;My municipality should avoid clear-cutting in the forest areas it owns.;The municipality should prioritise construction over preserving the local nature.;My municipality should attract more industrial jobs, even if it harms the environment.;My municipality must strive to achieve carbon neutrality before Finland's national target year of 2035.;Even sparsely populated areas of my municipality should have access to public transport to reach services.;Immigrants strengthen the vitality of my municipality.;My municipality must refuse to accept quota refugees.;My municipality should finance events that encourage interaction between different cultures.;My municipality should reduce spending on immigrant integration services.;Municipalities should compensate for the state cuts in theatre funding.;Libraries should be self-service so that my municipality can save on staff salary costs.;My municipality should show support for gender and sexual minorities by flying a Pride flag.
Kaija Hannula;Suomen Keskusta;Alavieska;ylempi korkeakoulututkinto;1965;suomi;suomi, ruotsi, englanti, saksa;female;2;2;2;2;1;1;2;2;2;1;1;0;1;2;1;1;2;2;3;1;2;1;1;1;1
Anne Huttunen;Perussuomalaiset;Alavieska;ylioppilas;1964;suomi;suomi, englanti;female;2;0;0;2;0;1;3;2;2;3;1;1;0;3;0;0;1;3;1;2;1;1;1;3;0
Marika Jylli;Suomen Keskusta;Alavieska;ammattitutkinto;1983;suomi;englanti;female;2;2;2;2;2;0;2;2;2;2;0;0;1;2;1;1;2;2;2;2;2;2;1;1;3
Heli Kantola;Suomen Keskusta;Alavieska;alempi korkeakoulututkinto;1982;suomi;suomi;female;3;2;2;2;2;0;1;2;2;2;1;1;2;2;1;1;0;1;1;1;1;1;1;2;1
Karita Koutonen-simonen;Suomen Keskusta;Alavieska;ammattitutkinto;1985;suomi;suomi, englanti;female;3;0;3;1;1;0;2;2;2;2;2;1;0;2;1;1;2;3;2;1;2;1;2;0;2
Jaana Nyman;Perussuomalaiset;Alavieska;ylempi korkeakoulututkinto;1980;suomi;suomi, ruotsi, englanti;female;2;2;1;1;1;1;1;2;2;2;0;0;1;2;1;1;1;2;2;1;2;1;1;2;0
Tuura Paula marika;Kansallinen Kokoomus;Alavieska;ammattitutkinto;1983;suomi;;female;1;2;2;2;1;0;1;2;3;0;1;0;0;1;3;2;0;3;2;1;2;0;0;0;3
Laura Verronen;Suomen Keskusta;Alavieska;ammattitutkinto;1988;suomi;;female;3;2;1;3;1;1;2;2;3;2;1;1;0;2;1;1;0;1;3;1;2;1;1;1;1
Heikki Hintsala;Suomen Keskusta;Alavieska;ammattitutkinto;1969;suomi;;male;2;1;2;3;2;0;3;2;2;0;1;0;1;0;2;2;0;2;1;1;1;2;0;1;0
Mika Häkkinen;Suomen Keskusta;Alavieska;alempi korkeakoulututkinto;1973;suomi;;male;3;2;1;1;2;1;1;2;0;2;1;1;1;3;1;1;1;3;2;1;2;0;1;1;2
Risto Isokääntä;Suomen Keskusta;Alavieska;ammattitutkinto;1976;suomi;suomi;male;3;0;2;3;2;0;2;3;3;3;0;0;0;3;0;0;0;3;3;0;3;1;1;0;0
Perttu Isotalus;Suomen Keskusta;Alavieska;ammattitutkinto;1986;suomi;suomi, ruotsi, englanti;male;2;2;3;3;3;0;3;2;1;2;1;2;1;1;1;0;1;2;1;1;1;1;1;0;0
Lauri Jääskelä;Suomen Keskusta;Alavieska;ylioppilas;1965;suomi;suomi, englanti;male;2;2;1;2;1;0;3;2;1;1;2;2;1;1;1;1;1;1;2;1;1;1;2;2;1
Matti Luonuansuu;Vasemmistoliitto;Alavieska;alempi korkeakoulututkinto;1982;suomi;suomi, ruotsi, englanti;male;2;1;2;2;2;1;1;2;2;2;1;1;1;1;1;2;2;2;2;1;3;1;2;0;3
Heikki Malinen;Perussuomalaiset;Alavieska;joku muu;1976;suomi;suomi, ruotsi, englanti;male;2;0;0;0;2;0;3;3;2;3;2;2;1;1;0;2;0;0;1;3;0;2;0;3;0
Jarmo Nahkala;Suomen Keskusta;Alavieska;ammattitutkinto;1966;suomi;englanti;male;1;2;1;3;2;0;3;2;3;0;2;0;1;0;3;2;0;2;2;1;2;1;1;1;0
Jarkko Pehkonen;Perussuomalaiset;Alavieska;ammattitutkinto;1966;suomi;;male;2;1;1;3;2;0;3;2;1;2;0;1;0;3;0;1;0;3;2;2;2;1;0;2;0
Olli Pudas;Suomen Keskusta;Alavieska;ammattitutkinto;1995;suomi;suomi, englanti;male;3;0;0;3;2;0;2;3;2;1;1;1;0;3;3;2;1;3;2;1;3;1;2;0;2
Simo Pudas;Suomen Kristillisdemokraatit (KD);Alavieska;ammattitutkinto;1990;suomi;suomi;male;2;1;1;2;2;0;2;2;2;2;1;1;0;2;0;1;0;1;2;1;2;2;1;1;0
Mika Rajaniemi;Perussuomalaiset;Alavieska;alempi korkeakoulututkinto;1970;suomi;suomi, englanti;male;2;1;0;2;2;0;2;2;0;2;0;1;1;2;2;1;1;2;0;1;1;2;0;1;0
Sakari Siitonen;Suomen Keskusta;Alavieska;alempi korkeakoulututkinto;1995;suomi;suomi;male;2;1;1;3;2;0;3;2;2;3;0;0;1;2;1;2;1;1;1;1;2;2;0;1;0
Jyrki Vääräkoski;Suomen Keskusta;Alavieska;ammattitutkinto;1985;suomi;;male;2;1;1;3;2;0;1;2;1;1;0;0;1;0;2;1;0;2;3;0;1;1;1;1;0
Niina Aarnio;Suomen Sosialidemokraattinen Puolue;Aura;ylioppilas;1970;suomi;suomi, ruotsi, englanti;female;2;2;2;1;2;1;2;1;1;2;2;0;2;2;1;1;1;2;2;1;2;1;1;0;2
Anna-Mari Alkio;Kansallinen Kokoomus;Aura;ylempi korkeakoulututkinto;1983;suomi;suomi, englanti;female;2;2;1;1;1;0;2;3;2;1;0;1;2;2;1;2;0;1;3;2;1;1;0;2;2
Liisa-anneli Holmberg;Suomen Keskusta;Aura;ylempi korkeakoulututkinto;1953;suomi;suomi;female;2;1;2;1;2;1;2;3;1;2;0;0;1;2;0;1;2;2;2;1;2;1;0;2;1
Johanna Hörkkö;Suomen Keskusta;Aura;ylempi korkeakoulututkinto;1986;suomi;suomi, ruotsi, englanti;female;3;1;3;3;1;3;2;3;2;2;2;0;2;3;0;2;2;2;3;0;3;0;3;0;1
Maiju Joutsimies;Kansallinen Kokoomus;Aura;alempi korkeakoulututkinto;1982;suomi;suomi, englanti;female;2;2;1;2;1;1;2;1;2;2;1;1;1;2;1;2;2;2;2;1;2;1;1;1;2
Krista Kankare;Kansallinen Kokoomus;Aura;peruskoulu;1972;suomi;suomi;female;2;2;3;1;2;0;3;2;1;3;0;2;0;2;1;2;1;2;0;3;0;2;2;0;0
Liisa Laakso;Suomen Keskusta;Aura;alempi korkeakoulututkinto;1983;suomi;suomi, englanti;female;2;0;3;3;0;1;1;3;3;1;0;0;1;3;0;1;0;3;3;0;0;1;0;1;0
Sini Lammela;Suomen Keskusta;Aura;ammattitutkinto;1988;suomi;suomi, englanti;female;2;0;1;3;1;0;2;2;1;3;1;1;0;1;2;1;1;2;1;1;1;1;1;1;3
Anneli Lehtimäki;Kansallinen Kokoomus;Aura;ylempi korkeakoulututkinto;1966;suomi;suomi, ruotsi, englanti, saksa;female;1;2;1;1;1;1;1;2;2;1;1;2;2;1;2;2;1;1;2;1;1;1;1;2;1
Taina Moisala;Kansallinen Kokoomus;Aura;ammattitutkinto;1960;suomi;suomi;female;2;0;2;2;1;0;2;1;1;1;1;0;0;1;1;2;1;2;1;2;2;0;1;1;0
Jenna Mäkelä;Suomen Kristillisdemokraatit (KD);Aura;alempi korkeakoulututkinto;1985;suomi;suomi, englanti;female;3;1;1;2;1;1;3;2;1;2;1;1;1;1;1;2;0;1;2;1;0;1;0;2;0
Lena Müller-salonen;Suomen Sosialidemokraattinen Puolue;Aura;ylioppilas;1968;suomi;suomi, ruotsi, englanti, saksa, ranska;female;2;1;2;2;2;1;2;1;2;2;2;1;1;3;0;1;2;1;2;1;1;0;0;0;2
Tanja Puotsaari;Vasemmistoliitto;Aura;ammattitutkinto;1979;suomi;suomi, englanti;female;3;0;0;3;1;0;1;1;3;3;0;1;0;3;0;1;2;2;3;0;1;0;1;0;3
Jenni Päätalo;Vasemmistoliitto;Aura;alempi korkeakoulututkinto;1978;suomi;suomi, ruotsi, englanti, italia;female;2;0;0;2;0;3;0;2;3;3;0;2;0;3;0;0;2;1;3;0;3;0;1;0;3
Heidi Rajakangas;Suomen Sosialidemokraattinen Puolue;Aura;alempi korkeakoulututkinto;1980;suomi;suomi, englanti;female;2;1;0;1;0;0;2;2;0;2;0;1;0;2;1;1;1;1;1;2;0;1;0;0;1
Päivi Ryösä;Suomen Keskusta;Aura;ammattitutkinto;1978;suomi;suomi;female;2;1;1;2;1;0;2;1;2;2;2;1;2;2;2;1;1;2;1;2;2;2;1;1;0
Taru Sahla;Suomen Keskusta;Aura;alempi korkeakoulututkinto;1972;suomi;suomi, ruotsi, englanti, saksa, viittomakieli;female;3;0;1;0;2;2;2;3;2;2;0;0;3;2;0;0;2;1;2;0;2;0;1;0;1
Niina Örn;Suomen Keskusta;Aura;ylempi korkeakoulututkinto;1988;suomi;suomi, ruotsi, englanti, viro;female;3;0;2;1;0;1;2;1;2;1;0;0;0;3;0;1;1;1;2;1;2;0;2;2;2
Jarkko Granat;Perussuomalaiset;Aura;ammattitutkinto;1988;suomi;suomi, englanti;male;2;0;3;2;2;0;2;3;1;2;0;1;1;2;1;3;1;3;0;3;1;2;1;0;2
Vesa Hakamäki;Suomen Sosialidemokraattinen Puolue;Aura;ylioppilas;1986;suomi;suomi, ruotsi, englanti;male;3;1;3;2;2;2;0;0;0;3;0;0;2;3;0;0;3;0;3;0;3;0;0;0;3
Janne Ilmalahti;Suomen Keskusta;Aura;alempi korkeakoulututkinto;1982;suomi;suomi, englanti;male;2;0;2;2;2;1;3;2;2;2;0;1;2;0;2;2;0;3;2;1;1;1;1;2;0
Kalle Isotalo;Kansallinen Kokoomus;Aura;ylempi korkeakoulututkinto;1981;suomi;suomi, ruotsi, englanti, saksa;male;0;1;2;0;0;0;2;3;3;0;0;0;2;3;2;2;1;2;3;3;1;0;0;3;2
Hannu Jalava;Suomen Sosialidemokraattinen Puolue;Aura;ammattitutkinto;1972;suomi;suomi, englanti;male;3;0;2;2;1;1;0;1;2;2;0;0;1;2;1;0;2;3;2;1;1;1;0;0;1
Pasi Kullanmäki;Kansallinen Kokoomus;Aura;alempi korkeakoulututkinto;1971;suomi;suomi, ruotsi, englanti, saksa;male;3;2;2;1;0;1;2;3;3;3;0;2;0;0;0;1;2;1;3;0;2;0;1;0;1
Markku Laaksonen;Suomen Keskusta;Aura;ylempi korkeakoulututkinto;1976;suomi;suomi, ruotsi, englanti;male;1;0;3;1;2;1;2;2;1;2;0;0;2;2;0;0;1;1;1;1;2;1;1;1;1
Jukka Leino;Suomen Sosialidemokraattinen Puolue;Aura;ammattitutkinto;1959;suomi;suomi;male;2;2;2;1;2;1;1;2;1;2;2;1;2;3;1;1;1;1;2;1;2;1;1;1;2
Matti Leppäkoski;Suomen Keskusta;Aura;alempi korkeakoulututkinto;1959;suomi;suomi, ruotsi, englanti;male;2;1;2;1;1;1;2;2;1;1;1;1;1;2;2;2;2;1;2;1;1;1;0;1;1
Ismo Litva;Suomen Keskusta;Aura;alempi korkeakoulututkinto;1954;suomi;suomi, englanti;male;2;1;2;1;2;1;1;2;1;1;2;1;2;3;1;2;2;2;2;1;2;0;2;2;1
Grof Mauri ilmari henrik;Perussuomalaiset;Aura;joku muu;1949;suomi;ruotsi, englanti, venäjä, viro;male;2;0;1;3;3;1;3;1;0;3;1;0;2;2;1;1;0;2;1;3;0;3;0;1;0
Ralf Nordström;Perussuomalaiset;Aura;ammattitutkinto;1978;suomi;suomi, ruotsi, englanti;male;2;2;1;2;1;0;0;2;2;2;1;2;0;2;1;2;0;1;1;1;1;1;0;2;1
Tommi Pasto;Kansallinen Kokoomus;Aura;alempi korkeakoulututkinto;1976;suomi;suomi, englanti;male;1;2;2;1;0;2;1;3;2;1;0;0;2;3;0;1;0;0;2;2;1;1;0;1;2
Matti Pöysti;Suomen Sosialidemokraattinen Puolue;Aura;ammattitutkinto;1966;suomi;suomi, ruotsi, englanti, saksa;male;0;2;3;3;3;0;3;0;2;2;2;0;1;0;2;3;0;2;3;0;0;2;0;1;0
Kalle Simola;Perussuomalaiset;Aura;ammattitutkinto;1976;suomi;ruotsi, englanti;male;3;1;1;2;2;0;2;2;1;2;0;1;1;2;1;1;1;2;1;2;0;2;0;0;0
Jari Sinisalo;Vasemmistoliitto;Aura;alempi korkeakoulututkinto;1977;suomi;suomi, englanti, espanja;male;2;0;0;3;1;2;0;0;3;3;0;1;1;3;0;0;2;2;3;0;1;0;1;2;3
Jouko Vuohijoki;Kansallinen Kokoomus;Aura;ammattitutkinto;1987;suomi;suomi;male;2;2;0;2;2;1;3;1;2;2;1;0;2;1;2;2;0;1;1;2;1;1;1;2;0
Jouko Vähä-Rahka;Suomen Keskusta;Aura;ylempi korkeakoulututkinto;1966;suomi;englanti, viro;male;2;2;2;1;0;1;1;3;2;2;1;0;1;3;0;0;3;2;2;1;2;1;1;2;0
Juhani Yli-pohja;Suomen Sosialidemokraattinen Puolue;Aura;joku muu;1963;suomi;suomi, englanti;male;2;2;2;3;1;0;2;2;2;3;0;1;2;2;1;1;1;2;1;1;1;1;0;2;1
Ritva Haasanen;Suomen Kristillisdemokraatit (KD);Askola;alempi korkeakoulututkinto;1955;suomi;suomi, ruotsi;female;3;0;2;1;2;2;3;2;1;2;0;0;0;3;0;1;0;3;2;0;2;0;0;2;0
Hanna-Mari Hakola-Riihisaari;Kansallinen Kokoomus;Askola;alempi korkeakoulututkinto;1984;suomi;suomi;female;2;1;2;3;1;0;1;2;2;2;1;2;1;1;1;1;1;3;1;1;3;2;0;2;1
Tanja Inkiläinen;Perussuomalaiset;Askola;ammattitutkinto;1992;suomi;suomi;female;3;0;1;1;1;1;1;2;1;2;0;0;0;2;2;2;1;2;2;2;1;1;0;1;2
Rauna Kiiskinen;Suomen Keskusta;Askola;alempi korkeakoulututkinto;1969;suomi;suomi, ruotsi, englanti, saksa;female;2;1;3;3;2;1;3;1;3;0;1;0;0;1;1;2;1;3;2;0;3;1;0;1;0
Vilma-maria Kilpeläinen;Suomen Sosialidemokraattinen Puolue;Askola;ammattitutkinto;1983;suomi;suomi, englanti;female;3;0;0;2;2;0;2;1;2;2;1;1;2;1;1;2;1;3;1;0;2;0;1;1;0
Riitta Koivisto;Suomen Sosialidemokraattinen Puolue;Askola;ammattitutkinto;1969;suomi;suomi, englanti;female;3;1;3;3;1;1;2;1;1;2;2;0;1;3;0;1;2;3;2;0;2;1;2;1;2
Taija Kämäräinen;Kansallinen Kokoomus;Askola;ylempi korkeakoulututkinto;1980;suomi;suomi, englanti;female;3;0;1;3;1;0;2;2;2;2;0;0;0;2;1;1;0;2;3;2;2;1;0;2;2
Anne Lampinen;Kansallinen Kokoomus;Askola;ammattitutkinto;1960;suomi;suomi, englanti;female;3;0;3;3;3;1;1;2;2;0;0;0;1;2;1;1;1;2;2;0;2;0;1;3;2
Marita Lehmusvuori;Suomen Kristillisdemokraatit (KD);Askola;alempi korkeakoulututkinto;1964;suomi;suomi, englanti;female;3;0;3;3;1;0;3;3;2;1;0;0;0;3;0;1;0;1;0;1;1;1;1;3;0
Petra Lind;Suomen ruotsalainen kansanpuolue;Askola;ylempi korkeakoulututkinto;1975;ruotsi;suomi, ruotsi, englanti, saksa, ranska, espanja;female;2;1;2;1;2;2;1;2;1;2;0;1;2;3;1;1;1;2;2;0;2;2;1;1;2
Maria Mastokangas;Kansallinen Kokoomus;Askola;ammattitutkinto;1983;suomi;suomi, englanti;female;3;2;2;1;2;0;0;1;2;2;1;1;1;1;1;1;2;3;0;1;0;3;1;3;1
Mia Myllys;Kansallinen Kokoomus;Askola;ammattitutkinto;1972;suomi;suomi, ruotsi, englanti;female;2;1;2;2;1;0;3;2;2;2;2;1;1;1;1;2;0;1;2;2;1;2;0;2;0
Jenny Nyholm;Kansallinen Kokoomus;Askola;ylioppilas;1998;suomi;;female;2;1;1;3;2;0;2;3;3;0;0;0;0;3;0;0;0;1;2;1;1;1;1;2;2
Hanna Simola;Suomen Sosialidemokraattinen Puolue;Askola;ylempi korkeakoulututkinto;1989;suomi;suomi, ruotsi, englanti;female;2;1;3;3;2;2;1;1;1;2;1;1;1;3;0;1;3;1;2;0;2;0;0;2;2
Reija-riikka Stenbäck;Vihreä liitto;Askola;ylempi korkeakoulututkinto;1971;suomi;suomi, ruotsi, englanti;female;3;0;3;3;1;2;0;1;0;3;0;2;1;3;0;0;3;2;3;0;3;0;2;2;3
Pia Sääski;Vasemmistoliitto;Askola;ylempi korkeakoulututkinto;1972;suomi;suomi, ruotsi, englanti, saksa, ranska, venäjä, joku muu;female;3;0;3;1;0;2;2;0;0;3;1;0;1;3;0;0;1;3;3;0;3;0;1;0;3
Tuija Terni;Suomen Keskusta;Askola;ammattitutkinto;1966;suomi;ruotsi, englanti;female;3;1;2;3;2;3;0;1;1;2;1;2;0;2;1;1;2;2;3;1;2;1;2;1;0
Åsa Tietäväinen;Kansallinen Kokoomus;Askola;joku muu;1978;ruotsi;suomi, ruotsi, englanti;female;2;2;2;2;2;1;2;2;1;2;1;2;1;2;1;1;1;2;1;1;1;1;1;2;1
Tero Aaltonen;Vasemmistoliitto;Askola;ammattitutkinto;1977;suomi;ruotsi, englanti;male;3;0;1;3;1;1;2;1;1;2;0;1;0;2;1;0;1;3;1;2;0;1;0;2;2
Mika Ahonen;Suomen Sosialidemokraattinen Puolue;Askola;ylempi korkeakoulututkinto;1970;suomi;suomi, ruotsi, englanti, saksa, ranska, venäjä, espanja, italia;male;1;1;1;1;2;1;1;1;1;2;2;1;1;2;1;1;1;2;2;1;2;0;1;1;1
Mika Eronen;Suomen Sosialidemokraattinen Puolue;Askola;ammattitutkinto;1973;suomi;suomi, englanti;male;3;0;2;2;3;0;3;2;0;3;0;0;0;3;0;0;3;3;3;0;0;0;0;1;3
Ari Forsberg;Kansallinen Kokoomus;Askola;alempi korkeakoulututkinto;1955;suomi;suomi, ruotsi, englanti, saksa;male;2;0;2;2;1;1;3;2;1;0;2;0;1;1;1;1;2;2;2;1;2;1;1;3;1
Riku Honkasalo;Kansallinen Kokoomus;Askola;ylempi korkeakoulututkinto;1973;suomi;suomi, ruotsi, englanti;male;3;0;2;3;2;2;3;2;3;2;0;1;0;3;1;2;1;2;2;2;2;1;1;2;2
Veikka Huuskonen;Suomen Sosialidemokraattinen Puolue;Askola;ylempi korkeakoulututkinto;1995;suomi;suomi, ruotsi, englanti;male;3;0;2;2;1;1;2;1;2;2;2;1;1;3;1;0;2;2;2;2;2;0;2;1;2
Jarkko Inkeroinen;Kansallinen Kokoomus;Askola;alempi korkeakoulututkinto;1971;suomi;suomi, ruotsi, englanti;male;2;1;2;2;1;0;3;3;3;2;2;0;2;2;0;3;0;0;2;0;2;0;1;2;0
Matti Jäppilä;Perussuomalaiset;Askola;alempi korkeakoulututkinto;1970;suomi;suomi, englanti;male;2;1;2;0;2;0;3;3;3;3;0;2;0;0;3;3;0;0;0;3;1;3;0;3;0
Jarkko Lehtonen;Kansallinen Kokoomus;Askola;ammattitutkinto;1961;suomi;suomi, englanti;male;2;1;3;3;2;0;2;3;3;0;1;0;1;0;1;2;0;3;3;0;2;0;1;3;2
Christian Liukkonen;Kansallinen Kokoomus;Askola;peruskoulu;2006;suomi;suomi, englanti;male;2;1;2;2;1;0;2;2;2;1;0;0;2;1;2;1;1;3;2;2;3;1;0;0;2
Mikko Maukonen;Kansallinen Kokoomus;Askola;alempi korkeakoulututkinto;1980;suomi;suomi, ruotsi, englanti;male;3;1;1;2;0;1;2;2;2;2;1;1;0;2;1;1;1;1;1;2;1;1;1;2;1
Aarne-erik Määttä;Kansallinen Kokoomus;Askola;ammattitutkinto;1976;suomi;suomi;male;2;1;1;2;2;0;3;3;3;1;0;3;0;0;2;2;0;1;1;2;2;2;0;1;0
Jouko Pihlaja;Kansallinen Kokoomus;Askola;ammattitutkinto;1955;suomi;suomi, englanti;male;2;3;0;2;0;0;2;3;3;2;0;0;1;0;1;2;0;0;0;3;0;3;0;3;0
Joutsi Rumpunen;Perussuomalaiset;Askola;alempi korkeakoulututkinto;1960;suomi;suomi, ruotsi, englanti;male;3;2;1;0;3;0;2;2;2;3;0;3;2;1;1;1;0;2;2;3;1;1;0;2;0
Reito Visajaani Salonen;Kansallinen Kokoomus;Askola;ylempi korkeakoulututkinto;1980;suomi;suomi, englanti;male;2;1;3;2;1;0;1;1;2;2;1;0;0;1;1;2;0;2;2;0;1;1;0;1;1
Tero Suominen;Kansallinen Kokoomus;Askola;ammattitutkinto;1965;suomi;suomi, englanti;male;3;0;2;3;2;2;1;3;3;1;0;1;1;2;2;2;0;3;2;2;2;2;1;3;0
Ville Suominen;Kansallinen Kokoomus;Askola;ammattitutkinto;2001;suomi;suomi, englanti;male;2;2;1;1;1;1;2;1;1;0;0;2;1;2;0;0;0;1;2;0;1;1;0;2;0
Kari Tuovinen;Kansallinen Kokoomus;Askola;ylempi korkeakoulututkinto;1961;suomi;suomi;male;2;1;2;2;0;0;3;3;3;1;0;1;2;3;1;0;1;2;3;0;1;0;1;2;0
Sami Vihuri;Suomen Sosialidemokraattinen Puolue;Askola;ammattitutkinto;1975;suomi;englanti;male;3;2;0;2;1;0;2;2;1;2;2;1;1;3;2;1;1;2;2;2;1;1;1;2;1
Mika Väinölä;Kansallinen Kokoomus;Askola;alempi korkeakoulututkinto;1979;suomi;suomi, ruotsi, englanti;male;3;2;2;2;2;1;2;3;2;2;0;1;1;2;1;1;2;1;2;1;2;2;1;2;1
Maria Keto;Suomen Keskusta;Alavus;ylempi korkeakoulututkinto;1978;suomi;suomi, ruotsi, englanti;female;2;2;1;1;2;1;2;2;2;3;2;2;1;2;1;2;1;2;2;2;1;2;2;2;0
Aada Kinnunen;Suomen Keskusta;Alavus;peruskoulu;2005;suomi;;female;3;1;1;2;3;1;3;2;2;2;1;1;1;2;0;1;1;2;1;1;3;1;1;0;1
Rebekka Kinnunen;Suomen Keskusta;Alavus;alempi korkeakoulututkinto;1982;suomi;suomi, ruotsi, englanti;female;1;2;2;3;3;0;3;3;0;3;0;2;2;0;0;1;1;3;2;2;0;1;0;2;0
Anja Kohtamäki;Suomen Keskusta;Alavus;joku muu;1953;suomi;suomi;female;2;2;1;2;2;2;3;2;1;2;1;1;1;2;1;0;2;1;1;2;1;2;1;1;0
Sirpa Korpela-leppälä;Suomen Sosialidemokraattinen Puolue;Alavus;ylempi korkeakoulututkinto;1955;suomi;suomi, ruotsi, englanti, saksa;female;2;2;2;1;3;3;0;2;3;2;1;0;2;3;1;1;1;3;2;1;2;1;2;0;0
Outi Laine;Kansallinen Kokoomus;Alavus;ylempi korkeakoulututkinto;1981;suomi;suomi, ruotsi, englanti;female;3;2;2;2;2;0;2;3;2;2;0;1;1;1;2;3;0;2;2;0;2;0;0;2;2
Marianne Mäkelä;Suomen Kristillisdemokraatit (KD);Alavus;ammattitutkinto;1981;suomi;suomi, englanti;female;2;1;0;3;3;0;3;3;3;2;0;0;1;1;0;2;0;1;1;1;1;1;2;1;0
Tanja Pääkkö;Perussuomalaiset;Alavus;ammattitutkinto;1972;suomi;suomi, ruotsi, englanti;female;2;0;1;2;2;0;3;3;2;1;1;0;0;2;1;1;0;3;2;2;1;1;1;0;0
Riitta Ranta-Knuuttila-Mertala;Suomen Keskusta;Alavus;joku muu;1963;suomi;suomi;female;2;3;1;1;2;2;2;2;2;2;1;1;1;1;2;2;1;2;2;1;1;1;1;1;1
Minna Sepponen;Suomen Keskusta;Alavus;ammattitutkinto;1978;suomi;suomi;female;2;2;1;3;3;0;2;1;2;2;0;1;0;0;0;2;0;1;2;1;2;2;1;2;1
Elina Sinkkonen;Vihreä liitto;Alavus;ammattitutkinto;1985;suomi;suomi, englanti;female;3;0;3;2;1;3;1;1;2;1;1;0;0;3;0;0;3;3;3;0;2;0;1;0;3
Erja Valkama;Suomen Keskusta;Alavus;ylempi korkeakoulututkinto;1973;suomi;suomi, ruotsi, englanti;female;3;0;2;3;1;1;2;2;1;2;1;2;2;2;1;2;0;2;2;1;2;1;1;2;0
Selina Vilmilä;Kansallinen Kokoomus;Alavus;ylioppilas;2004;suomi;suomi, englanti;female;2;1;1;2;2;0;2;2;1;3;2;2;2;2;2;2;2;2;1;1;2;2;1;2;1
Soile Välimaa;Suomen Keskusta;Alavus;ylempi korkeakoulututkinto;1966;suomi;suomi, englanti;female;2;2;0;1;1;0;3;2;3;1;0;1;0;0;2;2;1;1;3;1;2;0;1;1;1
Pentti Ahopelto;Suomen Kristillisdemokraatit (KD);Alavus;ammattitutkinto;1967;suomi;suomi, englanti;male;3;1;2;3;3;0;3;3;2;2;0;0;0;2;0;2;1;2;2;1;2;1;1;2;0
Timo Ala-Heikkilä;Kansallinen Kokoomus;Alavus;ammattitutkinto;1981;suomi;suomi;male;2;2;3;2;3;0;2;1;1;3;0;1;2;1;1;3;0;3;2;1;2;1;1;2;0
Lasse Anttila;Suomen Keskusta;Alavus;peruskoulu;1951;suomi;suomi;male;2;2;1;1;2;0;2;2;1;1;0;1;0;1;2;2;2;1;2;1;1;1;1;2;1
Matias Holmström;Perussuomalaiset;Alavus;alempi korkeakoulututkinto;1991;suomi;suomi, ruotsi, englanti, venäjä;male;3;3;0;3;1;0;3;3;3;0;0;3;0;1;2;3;0;1;2;3;0;3;0;3;0
Pasi Huhtala;Suomen Keskusta;Alavus;alempi korkeakoulututkinto;1976;suomi;suomi, englanti;male;3;0;1;1;3;0;1;3;1;1;1;1;1;1;1;2;1;2;1;1;1;2;1;1;1
Teemu Hyvärinen;ALAVUS ENSIN -yhteislista;Alavus;alempi korkeakoulututkinto;1978;suomi;suomi, englanti;male;3;0;1;2;3;0;3;3;2;2;1;1;0;1;0;0;0;1;1;3;2;1;1;1;0
Jouni Juurakko;Avoin Puolue;Alavus;ammattitutkinto;1966;suomi;suomi;male;2;0;1;2;3;0;2;3;2;1;0;3;0;1;2;3;1;3;1;3;0;2;0;0;0
Toni Juurakko;Suomen Keskusta;Alavus;ylempi korkeakoulututkinto;1971;suomi;suomi, ruotsi, englanti;male;3;2;0;2;1;0;3;3;2;2;0;1;1;0;1;2;0;1;2;2;1;1;1;1;0
Janne Kallioniemi;Suomen Keskusta;Alavus;ylioppilas;1994;suomi;;male;2;0;1;3;2;0;2;3;3;2;1;1;1;1;1;2;0;2;2;1;2;1;1;1;2
Heikki Korhonen;Suomen Keskusta;Alavus;alempi korkeakoulututkinto;1986;suomi;suomi, englanti;male;2;2;1;2;2;0;3;1;1;2;1;2;1;1;1;2;1;1;1;1;1;1;1;2;0
Ville Kurkela;Suomen Keskusta;Alavus;alempi korkeakoulututkinto;1985;suomi;suomi, englanti;male;3;2;3;2;0;1;2;1;1;3;0;1;0;0;2;2;1;3;2;2;2;1;1;1;2
Jarmo Linna;Suomen Keskusta;Alavus;ammattitutkinto;1963;suomi;suomi, ruotsi, englanti;male;2;1;1;2;2;0;3;2;1;2;1;1;1;1;1;2;1;2;2;1;2;1;2;2;1
