Name;Party;Municipality;Education;Year of birth;Language;Language skills;Gender;My municipality should set a maximum size for elementary school teaching groups.;It is justifiable to close down small schools to cut costs.;In my municipality, pupils should have the opportunity to study Swedish in Finnish-speaking schools before the sixth grade in elementary schools.;My municipality should financially support the home care of children under the age of 3.;My municipality should attract residents with a baby allowance.;Schools and kindergartens should serve less meat.;Schools should maintain Christian traditions.;If the municipality's income and expenses must be balanced, it should be done by cutting expenses rather than raising taxes.;Capital gains should not be subject to municipal taxation.;The municipality should primarily buy services from companies that it owns.;Municipalities should help to finance regional flights.;Remote support in looking for jobs is sufficient for unemployed people in small towns.;If necessary, the municipality should expropriate private land in order to obtain land for construction.;My municipality should avoid clear-cutting in the forest areas it owns.;The municipality should prioritise construction over preserving the local nature.;My municipality should attract more industrial jobs, even if it harms the environment.;My municipality must strive to achieve carbon neutrality before Finland's national target year of 2035.;Even sparsely populated areas of my municipality should have access to public transport to reach services.;Immigrants strengthen the vitality of my municipality.;My municipality must refuse to accept quota refugees.;My municipality should finance events that encourage interaction between different cultures.;My municipality should reduce spending on immigrant integration services.;Municipalities should compensate for the state cuts in theatre funding.;Libraries should be self-service so that my municipality can save on staff salary costs.;My municipality should show support for gender and sexual minorities by flying a Pride flag.
Jari Ilkka;Perussuomalaiset;Kaarina;alempi korkeakoulututkinto;1967;suomi;suomi, ruotsi, englanti;male;3;1;0;3;2;0;3;3;2;2;2;0;0;3;1;1;0;3;0;3;2;2;2;0;0
Juha-matti Jakku;Kansallinen Kokoomus;Kaarina;alempi korkeakoulututkinto;1992;suomi;suomi, englanti;male;2;1;2;2;1;0;2;2;2;1;0;1;1;2;1;2;1;2;2;1;1;1;1;0;1
Jari Juurenheimo;Suomen Kristillisdemokraatit (KD);Kaarina;joku muu;1963;suomi;suomi, englanti;male;2;1;3;2;1;1;1;2;1;2;1;1;1;2;1;1;2;1;2;1;2;1;2;1;2
Elias Järvinen;Suomen Keskusta;Kaarina;ylioppilas;1989;suomi;suomi, englanti;male;3;1;2;1;2;0;3;3;2;1;1;1;1;3;0;1;0;2;1;0;0;1;0;0;0
Jarmo Järviö;Suomen Sosialidemokraattinen Puolue;Kaarina;ammattitutkinto;1951;suomi;suomi;male;3;2;2;1;0;1;2;1;0;2;0;1;2;2;1;0;1;3;2;1;2;1;1;0;2
Toni Kaijanen;Perussuomalaiset;Kaarina;alempi korkeakoulututkinto;1994;suomi;suomi, ruotsi, englanti;male;3;2;0;1;0;0;3;3;3;2;2;0;0;1;2;3;0;2;0;3;0;3;1;0;0
Pentti Kallio;Vasemmistoliitto;Kaarina;ammattitutkinto;1953;suomi;suomi, ruotsi, englanti;male;3;0;2;3;0;0;2;1;1;2;1;1;1;2;0;1;1;2;2;1;2;1;2;1;2
Petri Kannisto;Kansallinen Kokoomus;Kaarina;ylioppilas;1966;suomi;suomi, ruotsi, englanti;male;3;1;3;1;0;0;2;3;3;0;2;2;2;2;2;1;0;1;1;1;1;1;1;0;0
Julius Karlsson;Vasemmistoliitto;Kaarina;alempi korkeakoulututkinto;1979;suomi;ruotsi, englanti;male;3;0;3;0;0;3;0;0;0;0;0;3;3;3;0;0;3;3;3;0;3;0;3;0;3
Kimmo Ketamo;Perussuomalaiset;Kaarina;ammattitutkinto;1979;suomi;suomi, englanti;male;3;1;1;3;0;0;2;2;1;1;0;1;1;3;2;2;0;1;1;3;0;2;1;0;0
Timo Kirjonen;Vihreä liitto;Kaarina;ammattitutkinto;1967;suomi;suomi;male;3;2;3;2;2;2;3;2;1;3;1;1;0;3;0;1;0;3;1;2;3;1;2;1;1
Tuomas Koivisto;Suomen Kristillisdemokraatit (KD);Kaarina;alempi korkeakoulututkinto;1959;suomi;suomi, englanti;male;3;2;2;2;2;0;3;2;0;3;2;2;1;2;2;1;0;3;1;1;0;1;1;0;0
Jani Kokkonen;Kansallinen Kokoomus;Kaarina;ylempi korkeakoulututkinto;1976;suomi;suomi, ruotsi, englanti;male;3;2;2;2;0;1;1;2;2;1;1;2;2;2;2;1;1;2;2;2;1;2;1;2;1
Konsta Koristo;Suomen Keskusta;Kaarina;ammattitutkinto;2006;suomi;suomi, englanti;male;3;0;3;2;0;0;2;3;2;1;0;1;0;1;2;2;0;2;0;2;1;2;2;2;0
Eino Koskinen;Suomen Sosialidemokraattinen Puolue;Kaarina;ylioppilas;2005;suomi;suomi, englanti;male;3;2;3;2;0;3;2;1;0;3;1;1;2;3;2;1;1;2;2;1;2;0;1;0;2
Wladyslaw Kosonen;Perussuomalaiset;Kaarina;ammattitutkinto;1989;suomi;suomi, ruotsi, englanti, venäjä;male;2;1;1;2;1;0;2;2;1;2;0;2;0;2;2;3;1;2;0;3;0;2;0;1;0
Juho Kotamäki;Kansallinen Kokoomus;Kaarina;joku muu;1975;suomi;suomi, ruotsi, englanti;male;1;1;1;2;1;1;2;3;3;1;1;1;1;2;2;2;1;1;2;1;1;1;0;1;1
Lauri Kuisma;Kansallinen Kokoomus;Kaarina;ylempi korkeakoulututkinto;1986;suomi;suomi, ruotsi, englanti;male;3;1;2;3;1;1;2;3;2;1;0;3;0;2;1;2;1;2;1;1;1;1;0;1;1
Risto Kuusakoski;Vihreä liitto;Kaarina;ylempi korkeakoulututkinto;1978;suomi;suomi, ruotsi, englanti, ranska;male;3;1;3;2;1;2;1;1;1;2;0;0;0;3;0;1;3;2;3;0;3;0;2;0;3
Tero Kuusisto;Kansallinen Kokoomus;Kaarina;ylempi korkeakoulututkinto;1974;suomi;suomi, ruotsi, englanti, saksa;male;2;1;2;1;0;0;3;3;3;0;0;2;0;3;0;1;1;1;2;1;1;0;0;1;2
Sami Laitinen;Kansallinen Kokoomus;Kaarina;alempi korkeakoulututkinto;1989;suomi;suomi, ruotsi, englanti;male;2;2;2;2;1;0;2;2;3;1;1;2;2;1;1;2;1;1;1;2;1;1;1;1;1
Jukka Lampikoski;Vihreä liitto;Kaarina;ylempi korkeakoulututkinto;1983;suomi;suomi, englanti;male;3;1;2;1;1;3;1;1;2;1;0;1;2;3;0;0;2;3;2;0;2;0;2;0;3
