Name,Party,Municipality,Education,Year of birth,Language,Gender,My municipality should set a maximum size for elementary school teaching groups,It is justifiable to close down small schools to cut costs,In my municipality pupils should have the opportunity to study Swedish in Finnish-speaking schools before the sixth grade in elementary schools,My municipality should financially support the home care of children under the age of 3,My municipality should attract residents with a baby allowance,Schools and kindergartens should serve less meat,Schools should maintain Christian traditions,If the municipality's income and expenses must be balanced it should be done by cutting expenses rather than raising taxes,Capital gains should not be subject to municipal taxation,The municipality should primarily buy services from companies that it owns,Municipalities should help to finance regional flights,Remote support in looking for jobs is sufficient for unemployed people in small towns,If necessary the municipality should expropriate private land in order to obtain land for construction,My municipality should avoid clear-cutting in the forest areas it owns,The municipality should prioritise construction over preserving the local nature,My municipality should attract more industrial jobs even if it harms the environment,My municipality must strive to achieve carbon neutrality before Finland's national target year of 2035,Even sparsely populated areas of my municipality should have access to public transport to reach services,Immigrants strengthen the vitality of my municipality,My municipality must refuse to accept quota refugees,My municipality should finance events that encourage interaction between different cultures,My municipality should reduce spending on immigrant integration services,Municipalities should compensate for the state cuts in theatre funding,Libraries should be self-service so that my municipality can save on staff salary costs,My municipality should show support for gender and sexual minorities by flying a Pride flag
Jari Huuskonen,VL,Espoo,ylempi korkeakoulututkinto,1971,suomi,male,3,2,0,3,1,0,2,3,2,3,1,2,0,1,2,2,0,2,0,3,1,3,0,2,0
Janne Hyrynkangas,Kok.,Espoo,ylioppilas,1999,suomi,male,1,3,3,1,1,2,1,3,3,0,0,2,2,3,2,2,3,2,2,1,2,1,1,2,3
Oskari Hyttinen,Kok.,Espoo,ylempi korkeakoulututkinto,1979,suomi,male,3,2,2,1,0,1,3,3,0,2,3,2,2,3,0,1,1,2,3,3,1,1,1,0,3
Mikko André Hyytiäinen,KD,Espoo,ylempi korkeakoulututkinto,1976,suomi,male,1,2,3,1,1,1,3,1,1,1,1,1,1,3,1,2,1,2,1,1,1,2,1,1,0
Johannes Hämeri,Kok.,Espoo,ylempi korkeakoulututkinto,1991,suomi,male,3,0,3,0,1,1,2,3,2,2,1,3,1,3,0,1,1,1,0,1,1,1,1,1,3
Jari Ihonen,Vihr.,Espoo,ylempi korkeakoulututkinto,1972,suomi,male,2,1,1,2,2,2,0,1,1,1,0,1,2,3,1,1,1,3,3,0,1,0,1,1,3
Mauritz Immonen,RKP,Espoo,ylioppilas,1987,ruotsi,male,2,0,2,1,0,1,0,2,3,2,0,2,1,2,1,1,3,2,2,1,1,0,2,2,1
Tommi Isopahkala,Kesk.,Espoo,ammattitutkinto,1976,suomi,male,3,1,2,3,2,0,3,3,1,1,0,0,3,2,2,2,1,1,3,0,2,0,1,2,0
Hesam Jafarian,RKP,Espoo,joku muu,1989,jokin muu,male,3,0,3,3,2,3,2,2,3,0,2,1,2,3,0,0,3,2,3,2,2,1,2,3,2
Tapio Jalava,SDP,Espoo,ammattitutkinto,1965,suomi,male,3,3,0,1,0,1,0,1,2,2,0,3,2,3,0,0,1,3,3,0,3,0,1,0,3
Cosmo Jenytin,Vihr.,Espoo,ylempi korkeakoulututkinto,1994,ruotsi,male,2,1,3,2,1,3,1,1,2,1,0,1,1,3,1,1,3,2,3,0,3,0,2,1,3
Markus Juvakoski,Kok.,Espoo,joku muu,1980,suomi,male,3,1,2,3,0,0,3,3,0,3,0,3,0,3,1,2,0,3,1,1,0,2,0,0,0
Pertti Järvenpää,KD,Espoo,ylempi korkeakoulututkinto,1951,suomi,male,2,1,2,3,1,1,3,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,0
Hannu Järvinen,PS,Espoo,ylempi korkeakoulututkinto,1965,suomi,male,3,1,2,2,0,0,2,3,1,0,3,0,2,2,0,1,0,3,0,3,0,2,0,2,0
Timo Järvinen,Liik.,Espoo,alempi korkeakoulututkinto,1975,suomi,male,3,3,1,3,2,1,3,2,3,3,3,2,1,3,1,2,1,3,3,2,2,2,3,3,2
Antti Jäänvirta,Kok.,Espoo,ylempi korkeakoulututkinto,1976,suomi,male,1,2,2,0,0,2,0,3,2,0,1,2,1,2,0,0,1,3,3,0,2,0,1,1,2
Erkki Kaarnama,PS,Espoo,ylioppilas,1959,suomi,male,2,1,1,2,2,0,3,2,2,2,1,1,1,2,0,1,1,3,1,2,1,3,0,1,0
Timo Kallioja,PS,Espoo,alempi korkeakoulututkinto,1957,suomi,male,3,2,2,1,0,0,2,3,3,1,2,2,0,3,0,2,0,2,1,2,1,3,0,2,1
Antti Kalliomaa,PS,Espoo,alempi korkeakoulututkinto,1960,suomi,male,2,2,2,2,1,1,2,2,3,1,0,2,0,2,1,1,0,1,1,2,1,2,1,1,0
Jarmo Kanerva,PS,Espoo,ylempi korkeakoulututkinto,1963,suomi,male,3,2,1,2,2,0,1,2,2,2,0,2,0,2,1,2,0,1,2,2,2,2,1,2,1
Markus Kanerva,Vihr.,Espoo,ylempi korkeakoulututkinto,1979,suomi,male,3,1,0,2,0,3,1,0,2,3,0,3,0,3,0,0,2,3,3,0,3,0,0,2,3
Kim Kannussaari,Vas.,Espoo,alempi korkeakoulututkinto,1972,suomi,male,3,1,3,2,1,3,0,0,1,2,0,1,2,3,0,1,3,3,3,0,3,0,2,1,3
Jukka Karhula,Vas.,Espoo,alempi korkeakoulututkinto,1954,suomi,male,3,0,3,2,0,3,0,0,0,2,0,0,3,3,0,0,3,3,3,0,3,0,2,0,3
Ville Kari,Vas.,Espoo,ammattitutkinto,1981,suomi,male,3,1,2,2,0,2,0,1,2,3,0,2,2,3,0,1,3,3,3,0,3,0,2,0,3
Kari Karjalainen,SDP,Espoo,ammattitutkinto,1958,suomi,male,2,2,2,2,3,1,3,2,2,3,2,2,2,2,2,2,2,3,2,1,2,1,2,0,2
Jukka Karmala,Vas.,Espoo,alempi korkeakoulututkinto,1954,suomi,male,3,1,3,3,2,3,1,0,0,3,2,1,2,3,0,0,2,3,3,0,3,0,3,3,3
Karri Karsi,Kok.,Espoo,joku muu,1970,suomi,male,3,2,3,1,1,2,2,2,2,0,0,1,1,3,1,1,1,3,3,1,1,0,1,2,1
Eemil Katavisto,Vihr.,Espoo,ylioppilas,1994,suomi,male,3,3,0,0,0,3,0,1,3,0,0,2,3,3,1,1,3,3,3,0,2,0,0,2,3
Mikki Kauste,Vihr.,Espoo,alempi korkeakoulututkinto,1971,suomi,male,3,1,2,0,0,3,0,1,0,2,0,2,1,3,0,0,3,3,2,0,3,0,2,0,3
