Name,Party,Municipality,Education,Year of birth,Language,Gender,My municipality should set a maximum size for elementary school teaching groups,It is justifiable to close down small schools to cut costs,In my municipality pupils should have the opportunity to study Swedish in Finnish-speaking schools before the sixth grade in elementary schools,My municipality should financially support the home care of children under the age of 3,My municipality should attract residents with a baby allowance,Schools and kindergartens should serve less meat,Schools should maintain Christian traditions,If the municipality's income and expenses must be balanced it should be done by cutting expenses rather than raising taxes,Capital gains should not be subject to municipal taxation,The municipality should primarily buy services from companies that it owns,Municipalities should help to finance regional flights,Remote support in looking for jobs is sufficient for unemployed people in small towns,If necessary the municipality should expropriate private land in order to obtain land for construction,My municipality should avoid clear-cutting in the forest areas it owns,The municipality should prioritise construction over preserving the local nature,My municipality should attract more industrial jobs even if it harms the environment,My municipality must strive to achieve carbon neutrality before Finland's national target year of 2035,Even sparsely populated areas of my municipality should have access to public transport to reach services,Immigrants strengthen the vitality of my municipality,My municipality must refuse to accept quota refugees,My municipality should finance events that encourage interaction between different cultures,My municipality should reduce spending on immigrant integration services,Municipalities should compensate for the state cuts in theatre funding,Libraries should be self-service so that my municipality can save on staff salary costs,My municipality should show support for gender and sexual minorities by flying a Pride flag
Jani Lahtinen,Vihr.,Espoo,alempi korkeakoulututkinto,1976,suomi,male,3,1,3,1,1,3,1,1,2,2,0,1,0,3,0,0,3,3,3,0,3,0,2,1,3
Teemu Lahtinen,PS,Espoo,alempi korkeakoulututkinto,1977,suomi,male,2,1,0,2,0,0,3,3,2,2,1,3,0,2,1,1,0,3,1,3,0,3,0,3,0
Jukka Laihosola,Kok.,Espoo,alempi korkeakoulututkinto,1989,suomi,male,3,2,3,3,1,1,3,3,3,1,1,3,1,2,1,1,1,2,2,0,1,1,1,1,0
Riku Larmala,KD,Espoo,ylempi korkeakoulututkinto,1992,suomi,male,3,0,3,3,2,1,3,2,2,2,1,1,1,3,1,0,3,3,3,0,2,0,1,1,0
Jukka Lasarov,Kesk.,Espoo,alempi korkeakoulututkinto,1958,suomi,male,3,0,2,2,2,1,1,1,2,2,2,1,1,3,0,1,1,2,2,1,2,1,2,1,1
Max Lehti,Vas.,Espoo,ylioppilas,2004,ruotsi,male,3,0,3,3,2,3,0,0,0,3,0,0,3,3,1,0,3,3,3,0,2,0,2,0,3
Antti Lehto,Lib.,Espoo,ylempi korkeakoulututkinto,1989,suomi,male,3,2,3,2,1,2,1,2,2,1,0,2,0,3,0,1,3,2,1,1,0,1,1,1,2
Akseli Lehtonen,Kok.,Espoo,ylioppilas,2002,suomi,male,2,1,2,3,2,0,2,3,3,0,1,2,1,1,2,3,0,1,1,2,1,2,0,3,0
Olli Lehtonen,SDP,Espoo,ylempi korkeakoulututkinto,1955,suomi,male,3,0,3,2,1,2,2,1,1,2,0,0,1,3,0,1,3,3,3,0,3,0,3,0,3
Jussi Leinonen,KD,Espoo,ylempi korkeakoulututkinto,1983,suomi,male,2,2,1,2,1,1,2,2,1,2,1,2,2,1,2,2,1,2,2,0,2,1,1,2,1
Kimmo Leivo,PS,Espoo,ylempi korkeakoulututkinto,1967,suomi,male,3,1,2,1,0,0,2,3,3,0,1,1,2,1,0,1,0,1,1,2,1,2,0,2,0
Maximilian Leroux,Kok.,Espoo,ylempi korkeakoulututkinto,1977,suomi,male,3,1,3,0,3,2,0,3,1,0,0,1,0,3,0,0,3,3,3,0,3,0,2,0,0
Mikko Lievonen,SDP,Espoo,joku muu,1980,suomi,male,3,2,2,1,0,1,2,1,1,2,0,2,2,2,1,1,2,2,2,1,1,1,1,2,2
"John ""Pi"" Liljelund",SDP,Espoo,joku muu,1964,ruotsi,male,3,1,2,1,3,2,2,1,1,2,0,1,2,3,2,1,3,3,3,0,3,0,3,1,3
Jarno Limnell,Kok.,Espoo,ylempi korkeakoulututkinto,1973,suomi,male,3,1,2,2,2,1,2,2,3,1,1,2,1,2,1,2,2,2,2,1,2,1,2,0,2
Hermanni Lohi,Kesk.,Espoo,ylioppilas,2003,suomi,male,3,0,2,3,1,1,3,2,2,1,1,2,1,2,0,2,2,2,2,0,1,1,0,2,0
Peetu Luiro,RKP,Espoo,alempi korkeakoulututkinto,1997,suomi,male,2,2,3,0,0,3,2,3,3,0,3,1,0,1,0,0,2,2,1,0,3,1,3,3,1
Tapio Luoma-aho,KD,Espoo,ylempi korkeakoulututkinto,1976,suomi,male,2,0,2,3,1,1,2,2,2,1,1,0,2,1,0,2,2,3,2,0,2,0,1,1,1
Mikko Luomala,Kok.,Espoo,ylempi korkeakoulututkinto,1990,suomi,male,2,2,1,1,1,1,2,2,2,1,1,2,2,2,1,2,1,1,2,2,1,2,1,1,2
Otso Luoto,SDP,Espoo,ammattitutkinto,1973,suomi,male,2,2,1,2,1,3,1,1,2,1,1,2,2,2,1,1,1,3,2,1,2,1,1,2,1
Teemu Lähde,SDP,Espoo,ammattitutkinto,1979,suomi,male,3,0,1,2,1,1,2,1,1,1,0,1,0,3,0,1,2,3,2,1,2,1,1,2,3
Sebastian Långström,RKP,Espoo,ylempi korkeakoulututkinto,1973,ruotsi,male,3,1,2,2,2,1,2,1,3,1,1,1,2,2,1,2,1,2,2,1,2,1,1,2,1
Bo Lönnqvist,RKP,Espoo,ylempi korkeakoulututkinto,1965,ruotsi,male,2,0,3,2,0,0,0,2,3,2,0,2,1,2,1,1,2,3,2,0,2,0,2,0,3
Kalevi Mannermaa,Liik.,Espoo,joku muu,1979,suomi,male,3,0,3,3,2,0,2,2,3,0,2,2,1,1,1,2,0,2,2,2,2,0,1,1,0
Niklas Mannfolk,RKP,Espoo,ylempi korkeakoulututkinto,1984,ruotsi,male,2,2,3,0,0,2,2,2,0,1,0,2,2,2,0,1,3,2,3,0,3,0,2,2,3
Markku Markkula,Kok.,Espoo,ylempi korkeakoulututkinto,1950,suomi,male,2,2,2,2,0,2,3,3,3,0,1,2,1,3,0,2,3,3,3,1,2,1,0,1,2
Aleksi Mastosalo,SDP,Espoo,ammattitutkinto,1996,suomi,male,3,0,3,3,1,2,2,1,0,2,0,1,0,3,0,1,2,3,1,0,1,1,2,1,2
Jouni Meriluoto,Vihr.,Espoo,ylempi korkeakoulututkinto,1963,suomi,male,2,1,2,2,1,2,2,1,1,2,1,2,2,2,1,1,2,3,2,1,2,1,2,2,1
Jari Merranmaa,Kok.,Espoo,ammattitutkinto,1970,suomi,male,3,0,1,3,3,0,3,3,1,1,1,0,1,3,0,1,0,3,1,3,0,2,0,0,0
Kimmo Metsä,Kok.,Espoo,ylempi korkeakoulututkinto,1973,suomi,male,2,1,2,1,1,1,2,2,1,1,1,1,1,2,0,1,2,3,2,1,2,1,3,1,2
Pontus Molander,RKP,Espoo,ylempi korkeakoulututkinto,1958,ruotsi,male,3,0,3,3,0,3,3,2,2,1,0,1,0,3,0,1,3,3,3,1,2,1,1,1,3
Niko Mourujärvi,SDP,Espoo,alempi korkeakoulututkinto,1988,suomi,male,3,1,3,1,1,2,1,1,1,2,0,1,2,3,0,0,3,3,3,0,3,0,3,1,3
Jussi Muhonen,Kok.,Espoo,ylempi korkeakoulututkinto,1964,suomi,male,3,2,2,2,0,1,2,3,3,1,0,2,0,3,0,0,2,2,2,3,1,2,1,1,2
Väinö Multamäki,Kok.,Espoo,peruskoulu,2006,suomi,male,2,1,2,1,1,1,1,2,2,1,1,2,1,2,1,1,1,2,1,2,1,1,2,1,2
Antti-Eemeli Mäkinen,Kok.,Espoo,alempi korkeakoulututkinto,1982,suomi,male,2,2,3,0,0,0,3,3,3,0,0,3,0,0,2,0,2,2,3,0,0,0,0,2,0
Risto Nevanlinna,Vihr.,Espoo,ylioppilas,1977,suomi,male,3,1,2,1,1,2,1,1,1,2,0,1,2,3,0,0,3,3,2,0,2,0,3,1,3
Tero Niemi,Lib.,Espoo,ylempi korkeakoulututkinto,1977,suomi,male,0,3,3,0,0,1,0,3,3,0,0,3,0,0,3,1,0,1,3,0,0,1,0,2,2
Jarmo Nieminen,Kok.,Espoo,ylempi korkeakoulututkinto,1960,suomi,male,3,1,2,1,0,1,3,3,3,1,0,0,2,2,1,1,3,3,2,1,2,0,2,2,2
Mikki Nieminen,Vas.,Espoo,ammattitutkinto,1962,suomi,male,2,1,3,3,1,2,2,1,1,2,0,2,1,2,1,2,1,3,2,1,3,1,1,2,3
Jyrki Noponen,Kok.,Espoo,ylempi korkeakoulututkinto,1971,suomi,male,2,1,1,2,0,0,2,3,3,1,0,1,2,2,1,1,0,0,2,0,1,1,1,0,3
